"rom","Name","clone of","pinemHi","tomslogic","superhac","nvrams"
acd_170c,"AC/DC (V1.70.0) (Colored MOD)",acd_170h,x,,,OK
acd_170h,"AC/DC Limited Edition (V1.70.0)",,x,x,x,OK
acd_170hc,"AC/DC Limited Edition (V1.70.0) (Colored MOD)",acd_170h,x,,,OK
afm_03,"Attack From Mars (0.3 / S0.6 Prototype)",afm_113,,,,KO!!
afm_10,"Attack From Mars (1.0 / S1.0)",afm_113,x,,,OK
afm_11,"Attack From Mars (1.1 / S1.0)",afm_113,x,,,KO!!
afm_113,"Attack From Mars (1.13 / S1.1)",,x,x,x,OK
afm_113b,"Attack From Mars (1.13b / S1.1)",afm_113,x,x,,OK
afm_11pfx,"Attack From Mars (1.1 Pinball FX / S1.1)",afm_113,x,,,OK
afm_11u,"Attack From Mars (1.1 Ultrapin / S1.1)",afm_113,x,,,OK
afm_f10,"Attack From Mars (FreeWPC 0.10)",afm_113,,,,KO!!
afm_f20,"Attack From Mars (FreeWPC 0.20)",afm_113,x,,,OK
afm_f32,"Attack From Mars (FreeWPC 0.32)",afm_113,x,,,OK
aftor,"Af-Tor",,,,,KO!!
afv_d4,"Addams Family Values (Coin Dropper) (D-4 LED Ghost Fix)",afv_l4,,,,KO!!
afv_l4,"Addams Family Values (Coin Dropper) (L-4)",,,,,KO!!
agent777,"Agents 777",,x,,x,OK
agfoot07,"A.G. Football (R07u)",agsoccer,x,,,KO!!
agfootbl,"A.G. Football (R18u, 2.1 Sound)",agsoccer,x,,,KO!!
agfootbl25l,"A.G. Football (R18u, 2.5L Sound)",agsoccer,x,,,KO!!
agsocc07,"A.G. Soccer-Ball (R07u)",agsoccer,x,,,KO!!
agsoccer,"A.G. Soccer-Ball (R18u, 2.1 Sound)",,x,,,KO!!
agsoccer25l,"A.G. Soccer-Ball (R18u, 2.5L Sound)",agsoccer,x,,,KO!!
alcapone,"Al Capone",,,,,KO!!
alcat_l7,"Alley Cats (Shuffle) (L-7)",,,,,KO!!
algar_l1,"Algar (L-1)",,x,x,,OK
algar_l1ff,"Algar (L-1 Free Play Fix)",algar_l1,,x,,KO!!
ali,"Ali",,x,x,x,OK
alib,"Ali (7-digit conversion Free Play rev. 76)",,x,,,OK
alic,"Ali (7-digit conversion Free Play rev. 85)",,,,,KO!!
alienstr,"Alien Star",,x,,,OK
alienwar,"Alien Warrior",,,,,KO!!
alifp,"Ali (Free Play)",ali,x,,,OK
alpok_b6,"Alien Poker (L-6, Multiball conversion)",alpok_l6,x,,,OK
alpok_f6,"Alien Poker (L-6, French Speech)",alpok_l6,x,x,,OK
alpok_f6ff,"Alien Poker (L-6, French Speech, Free Play Fix)",alpok_l6,,x,,KO!!
alpok_l2,"Alien Poker (L-2)",alpok_l6,x,x,x,OK
alpok_l2ff,"Alien Poker (L-2 Free Play Fix)",alpok_l6,,x,,KO!!
alpok_l6,"Alien Poker (L-6)",,x,x,,OK
alpok_l6ff,"Alien Poker (L-6 Free Play Fix)",alpok_l6,,x,,KO!!
amaz3afp,"Amazon Hunt III (rev. 1 French Free Play)",amazonh3,x,x,,KO!!
amazn2fp,"Amazon Hunt II (French Free Play)",amazonh2,x,x,,KO!!
amazn3fp,"Amazon Hunt III (French Free Play)",amazonh3,x,x,,KO!!
amazon3a,"Amazon Hunt III (rev. 1)",amazonh3,x,,x,OK
amazonh,"Amazon Hunt",,x,,,OK
amazonh2,"Amazon Hunt II (French)",,x,x,,OK
amazonh3,"Amazon Hunt III (French)",,x,x,,OK
amazonha,"Amazon Hunt (alternate set)",amazonh,x,,,OK
america,"America 1492",,,,,OK
andrett4,"Mario Andretti (rev. T4)",andretti,x,,x,OK
andretti,"Mario Andretti",,x,,x,OK
andromea,"Andromeda (alternate set)",andromed,x,,,KO!!
andromed,"Andromeda",,x,,,OK
antar,"Antar",,,,,KO!!
antar2,"Antar (alternate set)",antar,,,,KO!!
apollo1,"Apollo 13 (1.00)",apollo13,x,x,,KO!!
apollo13,"Apollo 13 (5.01, Display 5.00)",,x,x,x,OK
apollo14,"Apollo 13 (5.01, Display 4.01)",apollo13,x,x,,KO!!
apollo2,"Apollo 13 (2.03)",apollo13,x,x,,KO!!
aqualana,"Aqualand (alternate set)",aqualand,,,,KO!!
aqualand,"Aqualand",,,,,OK
arena,"Arena",,x,x,,OK
arena_fp,"Arena (Free Play)",arena,x,x,,KO!!
arenaa,"Arena (rev. 1)",arena,x,x,,KO!!
arenaafp,"Arena (rev. 1 Free Play)",arena,x,x,,KO!!
arenaf,"Arena (French)",arena,x,,,KO!!
arenaffp,"Arena (French Free Play)",arena,x,x,,KO!!
arenag,"Arena (German)",arena,x,,,KO!!
arenagfp,"Arena (German Free Play)",arena,x,x,,KO!!
arist_l1,"Aristocrat (Shuffle) (L-1)",,,,,KO!!
arizona,"Arizona",,,,,KO!!
astannie,"Asteroid Annie and the Aliens",,x,,,OK
atarianf,"Atarians, The (Free Play)",atarians,,,,KO!!
atarians,"Atarians, The",,,,,KO!!
atla_ltd,"Atlantis (LTD)",,,,,KO!!
atlantis,"Atlantis (rev. 3)",,x,,x,OK
atleta,"Atleta",,x,,x,OK
ator,"Ator",,,,,KO!!
ator2,"Ator (2 bumpers)",ator,,,,KO!!
attack,"Attack",,x,,x,OK
attila,"Attila The Hun",,x,,,OK
aust201,"Austin Powers (2.01)",austin,x,,,KO!!
aust300,"Austin Powers (3.00)",austin,x,,,KO!!
aust301,"Austin Powers (3.01)",austin,x,,,KO!!
austin,"Austin Powers (3.02)",,x,,x,OK
austinf,"Austin Powers (3.02 French)",austin,x,,,KO!!
austing,"Austin Powers (3.02 German)",austin,x,,,KO!!
austini,"Austin Powers (3.02 Italian)",austin,x,,,KO!!
avr_101h,"Avatar Limited Edition (V1.01)",avr_120h,x,,,KO!!
avr_106,"Avatar (V1.06)",avr_120h,x,,,KO!!
avr_110,"Avatar (V1.1)",avr_120h,x,,,OK
avr_120h,"Avatar Limited Edition (V1.2)",,x,,,OK
avr_200,"Avatar (V2.0)",avr_120h,x,,x,OK
avs_110,"Avengers, The (V1.1)",avs_170h,x,,,KO!!
avs_120h,"Avengers, The Limited Edition (V1.2)",avs_170h,x,,,KO!!
avs_140,"Avengers, The (V1.4)",avs_170h,x,,,KO!!
avs_140h,"Avengers, The Limited Edition (V1.4)",avs_170h,x,,,KO!!
avs_170,"Avengers, The (V1.7)",avs_170h,x,x,x,OK
avs_170c,"Avengers, The (V1.7) (Colored MOD)",avs_170h,x,x,,OK
avs_170h,"Avengers, The Limited Edition (V1.7)",,x,,,OK
avs_170hc,"Avengers, The Limited Edition (V1.7) (Colored MOD)",avs_170h,x,,,KO!!
babypac,"Baby Pac-Man (Video/Pinball Combo)",,x,,,OK
babypaca,"Baby Pac-Man (Video/Pinball Combo, Updated U9)",babypac,x,,,OK
babypacn,"Baby Pac-Man (Video/Pinball Combo, Home Rom)",babypac,x,,,KO!!
badgirl2,"Bad Girls (alternate set)",badgirls,,,,KO!!
badgirlf,"Bad Girls (French)",badgirls,x,,,KO!!
badgirlg,"Bad Girls (German)",badgirls,x,,,KO!!
badgirls,"Bad Girls",,x,x,x,OK
badgrffp,"Bad Girls (French Free Play)",badgirls,x,x,,KO!!
badgrgfp,"Bad Girls (German Free Play)",badgirls,x,x,,KO!!
badgrlfp,"Bad Girls (Free Play)",badgirls,x,x,,KO!!
barbwire,"Barb Wire",,x,,x,OK
barra_l1,"Barracora (L-1)",,x,x,x,OK
batmanf,"Batman Forever (4.0)",,x,x,,OK
batmanf1,"Batman Forever (1.02)",batmanf,x,,,KO!!
batmanf2,"Batman Forever (2.02)",batmanf,x,,,KO!!
batmanf3,"Batman Forever (3.0)",batmanf,x,,,KO!!
batmanf5,"Batman Forever (5.0 unofficial MOD)",batmanf,x,x,,KO!!
batmanf501,"Batman Forever (5.01 unofficial MOD)",batmanf,x,x,,KO!!
bay_401,"Baywatch (4.01 unofficial MOD)",baywatch,x,x,,KO!!
bay_d300,"Baywatch (3.00 Dutch)",baywatch,x,,,KO!!
bay_d400,"Baywatch (4.00 Dutch)",baywatch,x,x,,KO!!
bay_e400,"Baywatch (4.00 English)",baywatch,x,x,,KO!!
bay_f201,"Baywatch (2.01 French)",baywatch,x,,,KO!!
bay_g300,"Baywatch (3.00 German)",baywatch,,,,KO!!
baywatch,"Baywatch (4.00)",,x,x,x,OK
bbb108,"Big Bang Bar (Beta 1.8 US)",bbb109,x,,,KO!!
bbb109,"Big Bang Bar (Beta 1.9 US)",,x,,x,OK
bbbowlin,"Big Ball Bowling (Bowler)",,,,,KO!!
bbeltffp,"Black Belt (Zaccaria, French Speech, Free Play)",bbeltzac,,,,KO!!
bbeltgfp,"Black Belt (Zaccaria, German Speech, Free Play)",bbeltzac,,,,KO!!
bbeltifp,"Black Belt (Zaccaria, Italian Speech, Free Play)",bbeltzac,,,,KO!!
bbeltzac,"Black Belt (Zaccaria)",,,,,KO!!
bbeltzaf,"Black Belt (Zaccaria, French Speech)",bbeltzac,,,,KO!!
bbeltzag,"Black Belt (Zaccaria, German Speech)",bbeltzac,,,,KO!!
bbeltzai,"Black Belt (Zaccaria, Italian Speech)",bbeltzac,,,,KO!!
bbeltzfp,"Black Belt (Zaccaria, Free Play)",bbeltzac,,,,KO!!
bbh_140,"Big Buck Hunter Pro (V1.4)",bbh_170,x,,,KO!!
bbh_150,"Big Buck Hunter Pro (V1.5)",bbh_170,x,,,KO!!
bbh_160,"Big Buck Hunter Pro (V1.6)",bbh_170,x,,x,KO!!
bbh_170,"Big Buck Hunter Pro (V1.7)",,x,,x,OK
bbnny_l2,"Bugs Bunny's Birthday Ball (L-2)",,x,x,,OK
bbnny_lg,"Bugs Bunny's Birthday Ball (LG-2 German)",bbnny_l2,,,,KO!!
bbnny_lu,"Bugs Bunny's Birthday Ball (LU-2 Europe)",bbnny_l2,x,,,KO!!
bcats_g4,"Bad Cats (LG-4)",bcats_l5,x,,,KO!!
bcats_l2,"Bad Cats (LA-2)",bcats_l5,x,,x,KO!!
bcats_l5,"Bad Cats (L-5)",,x,x,,OK
bcats_tcm,"Bad Cats (The Cat's Meow)",bcats_l5,x,,,OK
bdk_130,"Batman: The Dark Knight (V1.3)",bdk_294,,,,KO!!
bdk_150,"Batman: The Dark Knight (V1.5)",bdk_294,,,,KO!!
bdk_160,"Batman: The Dark Knight (V1.6)",bdk_294,,,,KO!!
bdk_200,"Batman: The Dark Knight (V2.0)",bdk_294,,,,KO!!
bdk_210,"Batman: The Dark Knight (V2.1)",bdk_294,x,,,KO!!
bdk_220,"Batman: The Dark Knight (V2.2)",bdk_294,x,,,KO!!
bdk_240,"Batman: The Dark Knight (V2.4)",bdk_294,x,,,KO!!
bdk_290,"Batman: The Dark Knight (V2.9)",bdk_294,x,,,KO!!
bdk_294,"Batman: The Dark Knight (V2.94)",,x,x,x,OK
bdk_300,"Batman: The Dark Knight Home Edition/Costco (V3.00)",bdk_294,x,,,KO!!
beachbms,"Beach Bums (Hollywood Heat unofficial MOD)",hlywoodh,x,,x,KO!!
beatclc2,"Beat the Clock (with flasher support)",beatclck,x,,,OK
beatclck,"Beat the Clock",,x,,,OK
beav_butt,"Beavis and Butt-Head (Class of 1812 MOD)",clas1812,x,,x,OK
bellring,"Bell Ringer",,,,,OK
bguns_l7,"Big Guns (L-7)",bguns_l8,x,,,KO!!
bguns_l8,"Big Guns (L-8)",,x,x,x,OK
bguns_la,"Big Guns (L-A)",bguns_l8,x,x,,OK
bguns_lac,"Big Guns (L-AC Competition MOD)",bguns_l8,x,,,KO!!
bguns_p1,"Big Guns (P-1 Prototype)",bguns_l8,x,,,KO!!
bhol_ltd,"Black Hole (LTD)",,,,,KO!!
bhol_ltd_ekky,"Black Hole (LTD, with Ekky sound module)",bhol_ltd,,,,KO!!
bigbat,"Big Bat",,,,,KO!!
biggame,"Big Game",,x,x,x,OK
biggameb,"Big Game (MOD rev. 7)",biggame,x,,,KO!!
biggamec,"Big Game (MOD rev. 8)",biggame,x,,,KO!!
biggamed,"Big Game (MOD rev. 9)",biggame,x,,,KO!!
biggamee,"Big Game (MOD rev. 12)",biggame,,,,KO!!
biggamef,"Big Game (MOD rev. 13)",biggame,,,,KO!!
biggamfp,"Big Game (Free Play)",biggame,x,,,KO!!
bighosfp,"Big House (Free Play)",bighouse,x,x,,KO!!
bighouse,"Big House",,x,x,x,OK
bighousf,"Big House (French)",bighouse,x,,,KO!!
bighousg,"Big House (German)",bighouse,x,,,KO!!
bighsffp,"Big House (French Free Play)",bighouse,x,x,,KO!!
bighsgfp,"Big House (German Free Play)",bighouse,x,x,,KO!!
bighurt,"Big Hurt (rev. 3)",,x,,x,OK
bigtown,"Big Town",,,,,KO!!
bikerac2,"Bike Race (2-ball play)",bikerace,,,,KO!!
bikerace,"Bike Race",,,,,KO!!
bk2k_l4,"Black Knight 2000 (L-4)",,x,x,x,OK
bk2k_la2,"Black Knight 2000 (LA-2)",bk2k_l4,,,,KO!!
bk2k_lg1,"Black Knight 2000 (LG-1 German)",bk2k_l4,x,,,KO!!
bk2k_lg3,"Black Knight 2000 (LG-3 German)",bk2k_l4,x,,,KO!!
bk2k_pa5,"Black Knight 2000 (PA-5 Prototype)",bk2k_l4,,,,KO!!
bk2k_pa7,"Black Knight 2000 (PA-7 Prototype)",bk2k_l4,x,,,KO!!
bk2k_pf1,"Black Knight 2000 (PF-1 Prototype French)",bk2k_l4,x,,,KO!!
bk2k_pu1,"Black Knight 2000 (PU-1 Prototype Europe)",bk2k_l4,x,,,KO!!
bk_f4,"Black Knight (L-4, French Speech)",bk_l4,x,,,KO!!
bk_l2,"Black Knight (L-2)",bk_l4,,,,KO!!
bk_l3,"Black Knight (L-3)",bk_l4,x,,,KO!!
bk_l4,"Black Knight (L-4)",,x,x,,OK
black100,"Blackwater 100",,x,,x,OK
black10s,"Blackwater 100 (Single Ball Play)",black100,x,,,KO!!
blackbl2,"Black Belt (Squawk and Talk)",blackblt,x,,,KO!!
blackblt,"Black Belt",,x,,,OK
blackjcb,"Black Jack (Free Play)",blackjck,x,x,,KO!!
blackjcc,"Black Jack (Saucer points modification)",blackjck,x,,,KO!!
blackjcd,"Black Jack (Free Play+)",blackjck,x,x,,KO!!
blackjck,"Black Jack",,x,x,,OK
blakpyra,"Black Pyramid",,x,x,,OK
blakpyrb,"Black Pyramid (Free Play)",blakpyra,x,x,,KO!!
blbeauty,"Black Beauty (Shuffle)",,,,,KO!!
blckhole,"Black Hole (rev. 4)",,x,,,KO!!
blkfever,"Black Fever",,,,,KO!!
blkhol7s,"Black Hole (Sound Only, 7-digit conversion)",blkholea,x,,,KO!!
blkhole2,"Black Hole (rev. 2)",blckhole,x,,,OK
blkhole7,"Black Hole (7-digit conversion)",blckhole,x,,,OK
blkholea,"Black Hole (Sound Only)",,x,,,KO!!
blkou_f1,"Blackout (L-1, French Speech)",blkou_l1,x,x,,KO!!
blkou_f1ff,"Blackout (L-1, French Speech, Free Play Fix)",blkou_l1,,x,,KO!!
blkou_l1,"Blackout (L-1)",,x,x,,OK
blkou_l1ff,"Blackout (L-1 Free Play Fix)",blkou_l1,,x,,KO!!
blkou_t1,"Blackout (T-1 Ted Estes)",blkou_l1,x,x,,KO!!
blkou_t1ff,"Blackout (T-1 Ted Estes, Free Play Fix)",blkou_l1,,x,,KO!!
blkshpsq,"Black Sheep Squadron",,x,,x,KO!!
blroller,"Bloody Roller",,,,,KO!!
blvelvet,"Black Velvet",,x,,,OK
bmf_at,"Batman Forever (4.0 Austrian)",batmanf,x,x,,KO!!
bmf_be,"Batman Forever (4.0 Belgian)",batmanf,x,x,,KO!!
bmf_ch,"Batman Forever (4.0 Swiss)",batmanf,x,x,,KO!!
bmf_cn,"Batman Forever (4.0 Canadian)",batmanf,x,x,,KO!!
bmf_de,"Batman Forever (4.0 German)",batmanf,x,x,,KO!!
bmf_fr,"Batman Forever (4.0 French)",batmanf,x,x,,KO!!
bmf_it,"Batman Forever (4.0 Italian, Display 4.01)",batmanf,x,x,,KO!!
bmf_it2,"Batman Forever (4.0 Italian, Display 4.0)",batmanf,,x,,KO!!
bmf_it3,"Batman Forever (4.0 Italian, Display 4.0, Early sound)",batmanf,,x,,KO!!
bmf_jp,"Batman Forever (4.0 Japanese)",batmanf,x,x,,KO!!
bmf_nl,"Batman Forever (4.0 Dutch)",batmanf,x,x,,KO!!
bmf_nl302,"Batman Forever (3.02 Dutch, Display 4.01)",batmanf,,,,KO!!
bmf_no,"Batman Forever (4.0 Norwegian)",batmanf,x,x,,KO!!
bmf_sp,"Batman Forever (4.0 Spanish)",batmanf,x,x,,KO!!
bmf_sv,"Batman Forever (4.0 Swedish)",batmanf,x,x,,KO!!
bmf_time,"Batman Forever (4.0 Timed Play)",batmanf,x,x,,KO!!
bmf_uk,"Batman Forever (4.0 English)",batmanf,x,x,,KO!!
bmx,"BMX",,x,x,,OK
bmxa,"BMX (Free Play)",bmx,x,x,,KO!!
bnzai_g3,"Banzai Run (G-3 German)",bnzai_l3,x,,,KO!!
bnzai_l1,"Banzai Run (L-1)",bnzai_l3,x,,,KO!!
bnzai_l3,"Banzai Run (L-3)",,x,x,x,OK
bnzai_pa,"Banzai Run (P-A Prototype)",bnzai_l3,x,,,KO!!
bnzai_t3,"Banzai Run (L-3 Target sound fix)",bnzai_l3,x,,,KO!!
bonebffp,"Bone Busters Inc. (French Free Play)",bonebstr,x,x,,KO!!
bonebgfp,"Bone Busters Inc. (German Free Play)",bonebstr,x,x,,KO!!
bonebsfp,"Bone Busters Inc. (Free Play)",bonebstr,x,x,,KO!!
bonebstf,"Bone Busters Inc. (French)",bonebstr,x,,,KO!!
bonebstg,"Bone Busters Inc. (German)",bonebstr,x,,,KO!!
bonebstr,"Bone Busters Inc.",,x,x,x,OK
boomranb,"Boomerang (MOD Bugfixes patch)",boomrang,,,,KO!!
boomrang,"Boomerang (Engineering Prototype, patched patent code)",,,,,KO!!
bop_d2,"Machine: Bride of Pinbot, The (D-2 LED Ghost Fix)",bop_l7,,,,KO!!
bop_d3,"Machine: Bride of Pinbot, The (D-3 LED Ghost Fix)",bop_l7,,,,KO!!
bop_d4,"Machine: Bride of Pinbot, The (D-4 LED Ghost Fix)",bop_l7,,,,KO!!
bop_d5,"Machine: Bride of Pinbot, The (D-5 LED Ghost Fix)",bop_l7,,,,KO!!
bop_d6,"Machine: Bride of Pinbot, The (D-6 LED Ghost Fix)",bop_l7,,,,KO!!
bop_d7,"Machine: Bride of Pinbot, The (D-7 LED Ghost Fix)",bop_l7,,x,,KO!!
bop_d8,"Machine: Bride of Pinbot, The (D-8 LED Ghost Fix)",bop_l7,,x,,KO!!
bop_l2,"Machine: Bride of Pinbot, The (L-2)",bop_l7,x,,,KO!!
bop_l3,"Machine: Bride of Pinbot, The (L-3)",bop_l7,x,,,KO!!
bop_l4,"Machine: Bride of Pinbot, The (L-4)",bop_l7,x,,,KO!!
bop_l5,"Machine: Bride of Pinbot, The (L-5)",bop_l7,x,,,KO!!
bop_l6,"Machine: Bride of Pinbot, The (L-6)",bop_l7,x,,x,KO!!
bop_l7,"Machine: Bride of Pinbot, The (L-7)",,x,x,x,OK
bop_l8,"Machine: Bride of Pinbot, The (L-8 billionaire multiplayer patch)",bop_l7,x,x,,OK
bountgfp,"Bounty Hunter (German Free Play)",bountyh,x,x,,KO!!
bounthfp,"Bounty Hunter (Free Play)",bountyh,x,x,,KO!!
bountyh,"Bounty Hunter",,x,x,x,OK
bountyhg,"Bounty Hunter (German)",bountyh,x,,,KO!!
bowarroa,"Bow & Arrow (Prototype, rev. 22)",bowarrow,,,,KO!!
bowarrow,"Bow & Arrow (Prototype, rev. 23)",,,,,KO!!
br_d1,"Black Rose (D-1 LED Ghost Fix)",br_l4,,,,KO!!
br_d3,"Black Rose (D-3 LED Ghost Fix)",br_l4,,,,KO!!
br_d4,"Black Rose (D-4 LED Ghost Fix)",br_l4,,x,,KO!!
br_l1,"Black Rose (L-1)",br_l4,x,,,KO!!
br_l3,"Black Rose (L-3)",br_l4,x,,,KO!!
br_l4,"Black Rose (L-4)",,x,x,x,OK
br_p17,"Black Rose (P-17 Prototype, SP-1)",br_l4,x,,,KO!!
br_p18,"Black Rose (P-18 LED Ghost Fix)",br_l4,,,,KO!!
break,"Break",,x,,,OK
brooklyn,"Brooklyn (set 1) (Bingo)",,,,,KO!!
brooklyna,"Brooklyn (set 2) (Bingo)",brooklyn,,,,KO!!
brooks,"Brooks & Dunn (rev. T1)",,,,,KO!!
brvteafp,"Brave Team (Free Play)",brvteam,,,,KO!!
brvteam,"Brave Team",,,,,KO!!
bsb105,"Breakshot (Beta 1.5)",bsv103,x,,,KO!!
bsktball,"Basketball",,,,,KO!!
bstrk_l1,"Big Strike (Shuffle) (L-1)",,,,,KO!!
bsv100r,"Breakshot (Redemption 1.0)",bsv103,x,,,KO!!
bsv102,"Breakshot (1.2)",bsv103,x,,,KO!!
bsv102r,"Breakshot (Redemption 1.2)",bsv103,x,,,KO!!
bsv103,"Breakshot (1.3)",,x,,x,OK
btmn_101,"Batman (1.01)",btmn_103,x,,x,KO!!
btmn_103,"Batman (1.03)",,x,x,,KO!!
btmn_106,"Batman (1.06)",btmn_103,x,x,,OK
btmn_f13,"Batman (1.03 French)",btmn_103,x,,,KO!!
btmn_g13,"Batman (1.03 German)",btmn_103,x,,,KO!!
bttf_a20,"Back to the Future (2.0)",bttf_a28,x,,x,KO!!
bttf_a21,"Back to the Future (2.1)",bttf_a28,x,x,,KO!!
bttf_a27,"Back to the Future (2.7)",bttf_a28,x,x,x,OK
bttf_a28,"Back to the Future (2.8)",,x,x,,KO!!
bttf_g27,"Back to the Future (2.7 German)",bttf_a28,x,x,,KO!!
bubba,"Bubba the Redneck Werewolf (Hollywood Heat unofficial MOD)",hlywoodh,,,,KO!!
buckrgrs,"Buck Rogers",,x,,,OK
bullsen2,"301/Bullseye (Normal pinball scoring MOD rev. 13)",bullseye,x,,,KO!!
bullsey2,"301/Bullseye (MOD rev. 12)",bullseye,x,,,KO!!
bullseye,"301/Bullseye",,x,,,OK
bullseyn,"301/Bullseye (Normal pinball scoring)",bullseye,x,,,KO!!
bushido,"Bushido",,x,,,OK
bushidoa,"Bushido (alternate set A)",bushido,x,,,OK
bushidob,"Bushido (alternate set B)",bushido,x,,,KO!!
cactjack,"Cactus Jack's",,x,x,x,OK
camlight,"Camel Lights",,x,,,OK
canasta,"Canasta '86'",,,,,KO!!
canastfp,"Canasta '86' (Free Play)",canasta,,,,KO!!
carhop,"Car Hop",,x,x,x,OK
catacofp,"Catacomb (Free Play)",catacomb,x,,,KO!!
catacomb,"Catacomb",,x,x,,OK
cataconb,"Catacomb (No Bagatelle)",catacomb,x,,,KO!!
caveman,"Caveman (Pinball/Video Combo)",,x,,,OK
cavemana,"Caveman (Pinball/Video Combo) (set 2)",caveman,x,,,KO!!
cavemane,"Caveman (Pinball/Video Combo) (Evolution, unofficial MOD)",caveman,,,,KO!!
cavnegr1,"Cavaleiro Negro (alternate set 1)",cavnegro,,,,KO!!
cavnegr2,"Cavaleiro Negro (alternate set 2)",cavnegro,,,,KO!!
cavnegro,"Cavaleiro Negro",,,,,KO!!
cc_10,"Cactus Canyon (1.0)",cc_13,x,,,KO!!
cc_104,"Cactus Canyon (1.04 Test 0.2)",cc_13,x,,,KO!!
cc_12,"Cactus Canyon (1.2)",cc_13,x,,,KO!!
cc_13,"Cactus Canyon (1.3)",,x,x,x,OK
cc_13k,"Cactus Canyon (1.3 Real Knocker patch)",cc_13,x,,,KO!!
ccruise,"Caribbean Cruise",,x,x,x,OK
centaur,"Centaur",,x,x,,OK
centaura,"Centaur (Free Play)",centaur,x,x,,KO!!
centaurb,"Centaur (Free Play rev. 27)",centaur,x,x,,KO!!
centauri,"Centaur (Inder)",,,,,KO!!
centaurj,"Centaur (Inder, alternate set)",centauri,,,,KO!!
cerberus,"Cerberus",,x,,,OK
cftbl_d2,"Creature from the Black Lagoon (D-2 LED Ghost Fix)",cftbl_l4,,,,KO!!
cftbl_d3,"Creature from the Black Lagoon (D-3 LED Ghost Fix)",cftbl_l4,,,,KO!!
cftbl_d4,"Creature from the Black Lagoon (D-4 LED Ghost Fix)",cftbl_l4,,x,,KO!!
cftbl_l2,"Creature from the Black Lagoon (L-2)",cftbl_l4,x,,,KO!!
cftbl_l3,"Creature from the Black Lagoon (L-3)",cftbl_l4,x,,x,KO!!
cftbl_l4,"Creature from the Black Lagoon (L-4)",,x,x,,OK
cftbl_l4c,"Creature from the Black Lagoon (L-4C Competition + LED Ghost MOD)",cftbl_l4,,,,KO!!
cftbl_p3,"Creature from the Black Lagoon (P-3 Prototype, SP-1)",cftbl_l4,x,,,KO!!
champion,"Champion",,,,,KO!!
chance,"Chance",,,,,KO!!
charlies,"Charlie's Angels",,x,,,OK
che_cho,"Cheech & Chong: Road-Trip'pin (Harley-Davidson unofficial MOD)",,x,x,x,OK
cheetafp,"Cheetah (Black cabinet Free Play)",cheetah,x,,,KO!!
cheetah,"Cheetah (Black cabinet)",,x,x,,OK
cheetah1,"Cheetah (Black cabinet Bonus shot 1/game)",cheetah,x,,,KO!!
cheetah2,"Cheetah (Black cabinet Bonus shot 1/ball)",cheetah,x,,,OK
cheetah84,"Cheetah (Prototype Sounds + MOD 84)",cheetah,,,,KO!!
cheetahb,"Cheetah (Blue cabinet)",cheetah,x,x,,KO!!
cheetahb2,"Cheetah (Blue cabinet Bonus shot 1/ball)",cheetah,x,,,OK
chucklck,"Chuck-A-Luck",,x,,,OK
circa33,"Circa 1933",,,,,KO!!
circus,"Circus",,x,,,OK
circus7,"Circus (7-digit conversion)",circus,x,,,OK
cityslck,"City Slicker",,x,,,OK
ckpt_a17,"Checkpoint (1.7)",,x,x,x,OK
clas1812,"Class of 1812",,x,x,x,OK
